ship_id,year,note
concepcion,1797,[calendar2 ca23-d143] 1797 Anglo-Spanish-War coastal-defense dossier: 'Medidas precautorias contra los ingleses' (retirar el ganado de la Cost
catalina,1833,"[calendar2 ca28-d161] Reports the arrival of the national brigantine *Catalina* (Capt. José Zerecca, from Mazatlán, 37 days' sail) ⚠ UNCITED ("
natalia,1834,[calendar2 ca28-d243] Reports that on 1 Sept 1834 the National Brigantine *Natalia* arrived at San Diego carrying Director General de Coloniza
avon,1835,[calendar2 ca29-d52] El funeral de Figueroa: el bergantín *Avon* condujo su cuerpo; coordinando con el Capitán Rentería (por orden de Gutiérr
natalia,1835,[calendar2 ca29-d60] The brig *Natalia* contraband expediente (~16 leaves; interior witness testimonies n76/78/81/82/84 ⧉ BOUNDED = repetitiv
alert,1841,"[calendar2 ca33-d116] Lista de extranjeros residentes en Yerba Buena (2nd SF census, 1841): each with passport/document status — Mr. Enrique ("
thomas perkins,1841,[calendar2 ca33-d133] Da parte que pasó el bergantín americano *Thomas Perkins*
barnstable,1842,"[calendar2 ca33-d219] (multi 1842 dossiers): pasaporte a José Alejandro W. Bere; Osio boleto de desembarco a Robert Bernie (de Sandwich, fraga"
nicolas,1840,[calendar2 ca39-d207] Doc. in French w/ Savage's literal translation. THE RUSSIAN ABANDONMENT OF FORT ROSS announced formally: the RAC governo
baikal,1840,"[calendar2 ca39-d233] On the Bergantín Ruso *Baikal* anchored at SF: he must bring no article of commerce 'por haberlo así ofrecido, bajo pala"
barnstable,1842,[calendar2 ca39-d236] Fined the Fragata *Barnstable* $300 for permitting boarding by persons ashore before being visited by authorities; & re 
catalina,1840,[calendar2 ca39-d246] Debt to Eulogio Céliz (agent of Enrique Virmond's house): duties of the Barca *Clarita* & Bergantín *Catalina* applied t
clarita,1840,[calendar2 ca39-d246] Debt to Eulogio Céliz (agent of Enrique Virmond's house): duties of the Barca *Clarita* & Bergantín *Catalina* applied t
admittance,1843,"[calendar2 ca39-d247] Pay in preference Coronel de Auxiliares Juan B. Alvarado $1,300 for his alcances as Gobernador; libranzas against Mazatl"
moscow,1846,[calendar2 ca39-d251] Ordered Antonio Mª Osio to proceed aboard the Barca Americana *Moscow* anchored at San Pedro & accompany it to Monterey 
morelos,1825,[calendar2 ca40-d11] Armament: force embarked on the war-brig *Morelos* handed to the Monterey artillery officer; 25 carbines + 25 swords ord
rover,1826,[calendar2 ca40-d41] *Prorrateo* (distribution) of the *Rover*'s duties; some to the artillery detachment (⚠ first part of the *oficio* missi
alert,1841,[calendar2 ca42-d1038] Fined the foreigners Lázaro Dana & John [Powell?] $20 each for illegal entry; they reside at Abel Stearns's house (one t
maria ester,1829,"[calendar2 ca48-d24] Ports-of-entry / foreign-commerce regime: Monterey (& San Diego, pending supreme-govt approval) *habilitados* for foreig"
asia,1825,"[calendar2 ca57-d24] Aprehensión del bergantín español 'Águila': si llega en demanda de víveres, no dárselos sino procurar su entrega «tal cu"
morelos,1825,"[calendar2 ca57-d27] Que remita en el navío 'Morelos' la quincalla (120 arrobas, $300) que dejó el navío 'Congreso' á su paso"
albatross,1816,"[calendar2 ca62-d42] English-language letter: the *Albatross* overdue — sent from «the Farm» to Santa Rosa Island, ordered back in 8 days but"
